Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSMUSG00000064341,mt-Nd1,P03888
ENSMUSG00000064345,mt-Nd2,P03893
ENSMUSG00000064351,mt-Co1,P00397
ENSMUSG00000064354,mt-Co2,P00405
ENSMUSG00000064356,mt-Atp8,P03930
ENSMUSG00000064357,mt-Atp6,P00848
ENSMUSG00000064358,mt-Co3,P00416
ENSMUSG00000064360,mt-Nd3,P03899
ENSMUSG00000065947,mt-Nd4l,P03903
ENSMUSG00000064363,mt-Nd4,P03911
ENSMUSG00000064367,mt-Nd5,P03921
ENSMUSG00000064368,mt-Nd6,P03925
ENSMUSG00000064370,mt-Cytb,P00158
ENSMUSG00000093918,Rbmyf5,O35698
ENSMUSG00000093918,Rbmyf5,O35698
ENSMUSG00000093987,Rbmyf7,O35698
ENSMUSG00000093987,Rbmyf7,O35698
ENSMUSG00000095948,Rbmyf8,O35698
ENSMUSG00000095948,Rbmyf8,O35698
ENSMUSG00000095948,Rbmyf8,O35698
ENSMUSG00000096520,Rbmyf9,Q60990
ENSMUSG00000096520,Rbmyf9,Q60990
ENSMUSG00000053211,Zfy1,P10925
ENSMUSG00000053211,Zfy1,P10925
ENSMUSG00000069053,Uba1y,P31254
ENSMUSG00000069053,Uba1y,P31254
ENSMUSG00000056673,Kdm5d,Q62240
ENSMUSG00000056673,Kdm5d,Q62240
ENSMUSG00000069049,Eif2s3y,Q9Z0N2
ENSMUSG00000069045,Ddx3y,Q62095
ENSMUSG00000069044,Usp9y,F8VPU6
ENSMUSG00000000103,Zfy2,P20662
ENSMUSG00000000103,Zfy2,P20662
ENSMUSG00000069036,Sry,Q05738
ENSMUSG00000094658,Rbmy,O35698
ENSMUSG00000094658,Rbmy,O35698
ENSMUSG00000047161,Chst9,Q76EC5
ENSMUSG00000024304,Cdh2,P15116
ENSMUSG00000048799,Cep120,Q7TSG1
ENSMUSG00000048799,Cep120,Q7TSG1
ENSMUSG00000073563,Csnk1g3,Q8C4X2
ENSMUSG00000059898,Dsc3,P55850
ENSMUSG00000059898,Dsc3,P55850
ENSMUSG00000052713,Zfp608,Q56A10
ENSMUSG00000001700,Gramd2b,Q6PEM6
ENSMUSG00000024331,Dsc2,P55292
ENSMUSG00000024331,Dsc2,P55292
ENSMUSG00000044322,Dsc1,P55849
ENSMUSG00000034774,Dsg1c,Q7TSF0
ENSMUSG00000069441,Dsg1a,Q61495
ENSMUSG00000061928,Dsg1b,Q7TSF1
ENSMUSG00000053644,Aldh7a1,Q9DBF1
ENSMUSG00000053644,Aldh7a1,Q9DBF1
ENSMUSG00000001804,Dsg4,Q7TMD7
ENSMUSG00000008301,Phax,Q9JJT9
ENSMUSG00000032900,Spmip10,Q9D9I1
ENSMUSG00000024590,Lmnb1,P14733
ENSMUSG00000032656,Marchf3,Q8BRX9
ENSMUSG00000024592,C330018D20Rik,Q9CWB7
ENSMUSG00000024592,C330018D20Rik,Q9CWB7
ENSMUSG00000044393,Dsg2,O55111
ENSMUSG00000061808,Ttr,P07309
ENSMUSG00000056124,B4galt6,Q9WVK5
ENSMUSG00000024943,Smc5,Q8CG46
ENSMUSG00000024943,Smc5,Q8CG46
ENSMUSG00000024593,Megf10,Q6DIB5
ENSMUSG00000033053,Cfap95,Q9CQC3
ENSMUSG00000024897,Apba1,B2RUJ5
ENSMUSG00000033107,Rnf125,Q9D9R0
ENSMUSG00000024897,Apba1,B2RUJ5
ENSMUSG00000033107,Rnf125,Q9D9R0
ENSMUSG00000071604,Entrep1,Q4FZH1
ENSMUSG00000024317,Rnf138,Q9CQE0
