gene_id,gene_symbol,sample,count,characteristics,immunophenotype,developmental stage,log2_count,UniProtKB/Swiss-Prot ID
ENSMUSG00000037742,Eef1a1,GSM1480292,12416.21072,"mammary gland, luminal cells, virgin",luminal cell population,virgin,13.60005351668637,P10126
ENSMUSG00000064351,COX1,GSM1480292,11733.23109,"mammary gland, luminal cells, virgin",luminal cell population,virgin,13.518435688901986,P00397
ENSMUSG00000049382,Krt8,GSM1480292,7401.54428,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.853805499898803,P11679
ENSMUSG00000032554,Trf,GSM1480292,5524.81057,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.431970390712989,Q921I1
ENSMUSG00000032068,Plet1,GSM1480292,5364.07735,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.389383255579947,Q8VEN2
ENSMUSG00000062825,Actg1,GSM1480292,5264.02354,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.362224266238881,P63260
ENSMUSG00000034994,Eef2,GSM1480292,4703.03308,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.199682490283674,P58252
ENSMUSG00000064358,COX3,GSM1480292,4492.58812,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.133652178546745,P00416
ENSMUSG00000021250,Fos,GSM1480292,4475.65335,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.128204892026067,P01101
ENSMUSG00000064370,CYTB,GSM1480292,4422.53785,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.110984952255297,P00158
ENSMUSG00000023043,Krt18,GSM1480292,4354.08441,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.088484965990991,P05784
ENSMUSG00000003545,Fosb,GSM1480292,3726.32137,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.863923498394055,P13346
ENSMUSG00000028063,Lmna,GSM1480292,3404.64482,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.733712266612175,P48678
ENSMUSG00000008348,Ubc,GSM1480292,3391.61807,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.728183309897778,P0CG50
ENSMUSG00000064363,ND4,GSM1480292,3339.84727,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.705998314671065,P03911
ENSMUSG00000023944,Hsp90ab1,GSM1480292,3286.43761,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.682747799417532,P11499
ENSMUSG00000064341,ND1,GSM1480292,3126.67089,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.610872997325002,P03888
ENSMUSG00000030605,Mfge8,GSM1480292,2971.9888,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.537698312921135,P21956
ENSMUSG00000029580,Actb,GSM1480292,2958.28971,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.531035225776769,P60710
ENSMUSG00000020911,Krt19,GSM1480292,2874.03608,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.489364345800999,P19001
ENSMUSG00000067274,Rplp0,GSM1480292,2705.6549,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.402295239523102,P14869
ENSMUSG00000070702,Csn1s1,GSM1480292,2635.85676,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.364603487548122,P19228
ENSMUSG00000047501,Cldn4,GSM1480292,2603.83618,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.346976927901643,O35054
ENSMUSG00000026822,Lcn2,GSM1480292,2571.31134,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.328849554657008,P11672
ENSMUSG00000060126,Tpt1,GSM1480292,2563.28519,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.324341006571295,P63028
ENSMUSG00000064367,ND5,GSM1480292,2530.63428,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.305853292691099,P03921
ENSMUSG00000001622,Csn3,GSM1480292,2496.13442,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.286057767861646,P06796
ENSMUSG00000032399,Rpl4,GSM1480292,2303.21253,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.170058075155932,Q9D8E6
ENSMUSG00000026185,Igfbp5,GSM1480292,2238.66711,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.129068599783489,Q07079
ENSMUSG00000045394,Epcam,GSM1480292,2234.9692,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.126684600162823,Q99JW5
ENSMUSG00000029838,Ptn,GSM1480292,2230.97713,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.124106529300235,P63089
ENSMUSG00000052684,Jun,GSM1480292,2139.91598,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.064012463096466,P05627
ENSMUSG00000016559,H3f3b,GSM1480292,2108.23157,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.042501780244406,P84244
ENSMUSG00000017707,Serinc3,GSM1480292,2107.5172,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.042013074955204,Q9QZI9
ENSMUSG00000031320,Rps4x,GSM1480292,2017.00234,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.978712132002512,P62702
