gene_id,gene_symbol,sample,count,characteristics,immunophenotype,developmental stage,log2_count
ENSMUSG00000037742,Eef1a1,GSM1480292,12416.21072,"mammary gland, luminal cells, virgin",luminal cell population,virgin,13.60005351668637
ENSMUSG00000064351,COX1,GSM1480292,11733.23109,"mammary gland, luminal cells, virgin",luminal cell population,virgin,13.518435688901986
ENSMUSG00000049382,Krt8,GSM1480292,7401.54428,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.853805499898803
ENSMUSG00000032554,Trf,GSM1480292,5524.81057,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.431970390712989
ENSMUSG00000032068,Plet1,GSM1480292,5364.07735,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.389383255579947
ENSMUSG00000062825,Actg1,GSM1480292,5264.02354,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.362224266238881
ENSMUSG00000034994,Eef2,GSM1480292,4703.03308,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.199682490283674
ENSMUSG00000064358,COX3,GSM1480292,4492.58812,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.133652178546745
ENSMUSG00000021250,Fos,GSM1480292,4475.65335,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.128204892026067
ENSMUSG00000064370,CYTB,GSM1480292,4422.53785,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.110984952255297
ENSMUSG00000023043,Krt18,GSM1480292,4354.08441,"mammary gland, luminal cells, virgin",luminal cell population,virgin,12.088484965990991
ENSMUSG00000003545,Fosb,GSM1480292,3726.32137,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.863923498394055
ENSMUSG00000028063,Lmna,GSM1480292,3404.64482,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.733712266612175
ENSMUSG00000008348,Ubc,GSM1480292,3391.61807,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.728183309897778
ENSMUSG00000064363,ND4,GSM1480292,3339.84727,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.705998314671065
ENSMUSG00000069833,Ahnak,GSM1480292,3313.66771,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.694648534437802
ENSMUSG00000023944,Hsp90ab1,GSM1480292,3286.43761,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.682747799417532
ENSMUSG00000064341,ND1,GSM1480292,3126.67089,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.610872997325002
ENSMUSG00000030605,Mfge8,GSM1480292,2971.9888,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.537698312921135
ENSMUSG00000029580,Actb,GSM1480292,2958.28971,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.531035225776769
ENSMUSG00000047730,Fcgbp,GSM1480292,2879.96115,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.492334490428789
ENSMUSG00000020911,Krt19,GSM1480292,2874.03608,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.489364345800999
ENSMUSG00000067274,Rplp0,GSM1480292,2705.6549,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.402295239523102
ENSMUSG00000070702,Csn1s1,GSM1480292,2635.85676,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.364603487548122
ENSMUSG00000047501,Cldn4,GSM1480292,2603.83618,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.346976927901643
ENSMUSG00000026822,Lcn2,GSM1480292,2571.31134,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.328849554657008
ENSMUSG00000060126,Tpt1,GSM1480292,2563.28519,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.324341006571295
ENSMUSG00000020719,Ddx5,GSM1480292,2541.43387,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.311994533999998
ENSMUSG00000064367,ND5,GSM1480292,2530.63428,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.305853292691099
ENSMUSG00000001622,Csn3,GSM1480292,2496.13442,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.286057767861646
ENSMUSG00000032399,Rpl4,GSM1480292,2303.21253,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.170058075155932
ENSMUSG00000026185,Igfbp5,GSM1480292,2238.66711,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.129068599783489
ENSMUSG00000045394,Epcam,GSM1480292,2234.9692,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.126684600162823
ENSMUSG00000029838,Ptn,GSM1480292,2230.97713,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.124106529300235
ENSMUSG00000000078,Klf6,GSM1480292,2230.26276,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.123644704217755
ENSMUSG00000052684,Jun,GSM1480292,2139.91598,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.064012463096466
ENSMUSG00000016559,H3f3b,GSM1480292,2108.23157,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.042501780244406
ENSMUSG00000017707,Serinc3,GSM1480292,2107.5172,"mammary gland, luminal cells, virgin",luminal cell population,virgin,11.042013074955204
ENSMUSG00000031320,Rps4x,GSM1480292,2017.00234,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.978712132002512
ENSMUSG00000026238,Ptma,GSM1480292,1994.47868,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.962519149618721
ENSMUSG00000024042,Sik1,GSM1480292,1968.21508,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.943404977365947
ENSMUSG00000064345,ND2,GSM1480292,1960.81925,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.937976411264593
ENSMUSG00000007892,Rplp1,GSM1480292,1881.31408,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.878291658665175
ENSMUSG00000020372,Rack1,GSM1480292,1833.8295,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.841430292726304
ENSMUSG00000028081,Rps3a1,GSM1480292,1799.28761,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.8140116914251
ENSMUSG00000019818,Cd164,GSM1480292,1773.36019,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.79308318696175
ENSMUSG00000015656,Hspa8,GSM1480292,1772.98199,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.792775647700399
ENSMUSG00000026628,Atf3,GSM1480292,1708.60466,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.739447030241873
ENSMUSG00000028967,Errfi1,GSM1480292,1703.68812,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.735292100810787
ENSMUSG00000064354,COX2,GSM1480292,1696.83857,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.729483579046644
ENSMUSG00000064357,ATP6,GSM1480292,1692.80448,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.726051635120797
ENSMUSG00000022283,Pabpc1,GSM1480292,1673.93671,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.70989086686281
ENSMUSG00000022895,Ets2,GSM1480292,1657.92642,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.696034183098575
ENSMUSG00000022587,Ly6e,GSM1480292,1650.82474,"mammary gland, luminal cells, virgin",luminal cell population,virgin,10.689844908377061
