Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSMUSG00000064341,mt-Nd1,P03888
ENSMUSG00000064345,mt-Nd2,P03893
ENSMUSG00000064351,mt-Co1,P00397
ENSMUSG00000064354,mt-Co2,P00405
ENSMUSG00000064356,mt-Atp8,P03930
ENSMUSG00000064357,mt-Atp6,P00848
ENSMUSG00000064358,mt-Co3,P00416
ENSMUSG00000064360,mt-Nd3,P03899
ENSMUSG00000065947,mt-Nd4l,P03903
ENSMUSG00000064363,mt-Nd4,P03911
ENSMUSG00000064367,mt-Nd5,P03921
ENSMUSG00000064368,mt-Nd6,P03925
ENSMUSG00000064370,mt-Cytb,P00158
ENSMUSG00000048799,Cep120,Q7TSG1
ENSMUSG00000048799,Cep120,Q7TSG1
ENSMUSG00000073563,Csnk1g3,Q8C4X2
ENSMUSG00000073563,Csnk1g3,
ENSMUSG00000073563,Csnk1g3,
ENSMUSG00000052713,Zfp608,Q56A10
ENSMUSG00000052713,Zfp608,
ENSMUSG00000001700,Gramd2b,
ENSMUSG00000001700,Gramd2b,Q6PEM6
ENSMUSG00000001700,Gramd2b,
ENSMUSG00000024331,Dsc2,P55292
ENSMUSG00000024331,Dsc2,P55292
ENSMUSG00000024331,Dsc2,
ENSMUSG00000024331,Dsc2,
ENSMUSG00000053644,Aldh7a1,Q9DBF1
ENSMUSG00000053644,Aldh7a1,
ENSMUSG00000053644,Aldh7a1,Q9DBF1
ENSMUSG00000053644,Aldh7a1,
ENSMUSG00000053644,Aldh7a1,
ENSMUSG00000053644,Aldh7a1,
ENSMUSG00000008301,Phax,
ENSMUSG00000008301,Phax,
ENSMUSG00000008301,Phax,Q9JJT9
ENSMUSG00000024590,Lmnb1,P14733
ENSMUSG00000033863,Klf9,
ENSMUSG00000032656,Marchf3,Q8BRX9
ENSMUSG00000032656,Marchf3,
ENSMUSG00000024592,C330018D20Rik,Q9CWB7
ENSMUSG00000024592,C330018D20Rik,Q9CWB7
ENSMUSG00000044393,Dsg2,O55111
ENSMUSG00000044393,Dsg2,
ENSMUSG00000044393,Dsg2,
ENSMUSG00000056124,B4galt6,Q9WVK5
ENSMUSG00000024943,Smc5,Q8CG46
ENSMUSG00000024943,Smc5,Q8CG46
ENSMUSG00000024943,Smc5,
ENSMUSG00000074925,Ptar1,
ENSMUSG00000074925,Ptar1,
ENSMUSG00000074925,Ptar1,
ENSMUSG00000074925,Ptar1,
ENSMUSG00000074925,Ptar1,
ENSMUSG00000033382,Trappc8,
ENSMUSG00000033382,Trappc8,
ENSMUSG00000033382,Trappc8,
ENSMUSG00000033107,Rnf125,Q9D9R0
ENSMUSG00000033107,Rnf125,Q9D9R0
ENSMUSG00000024317,Rnf138,Q9CQE0
ENSMUSG00000024317,Rnf138,Q9CQE0
ENSMUSG00000024317,Rnf138,Q9CQE0
ENSMUSG00000024317,Rnf138,
ENSMUSG00000024317,Rnf138,Q9CQE0
ENSMUSG00000042680,Garem1,Q3UFT3
ENSMUSG00000042680,Garem1,Q3UFT3
ENSMUSG00000024812,Tjp2,
ENSMUSG00000024812,Tjp2,Q9Z0U1
ENSMUSG00000024812,Tjp2,
ENSMUSG00000024812,Tjp2,
ENSMUSG00000024812,Tjp2,
ENSMUSG00000024812,Tjp2,Q9Z0U1
ENSMUSG00000059363,Fxn,O35943
ENSMUSG00000059363,Fxn,
ENSMUSG00000024598,Fbn2,Q61555
ENSMUSG00000024867,Pip5k1b,P70181
ENSMUSG00000024867,Pip5k1b,P70181
ENSMUSG00000074922,Pabir1,Q9DB52
ENSMUSG00000048572,Tmem252,Q8C353
